,genome name,species
0,ESC_HA7792AA_AS.fasta,Escherichia coli
1,ESC_HA9975AA_AS.fasta,Escherichia coli
2,ESC_HA7457AA_AS.fasta,Escherichia coli B93
3,ESC_IA1636AA_AS.fasta,Escherichia coli
4,ESC_HA7911AA_AS.fasta,Escherichia coli
5,ESC_GA6789AA_AS.fasta,Escherichia coli O26:H11 str. 2009C-3689
6,ESC_HA8681AA_AS.fasta,Escherichia coli
7,ESC_HA1758AA_AS.fasta,Escherichia coli KTE40
8,ESC_IA0097AA_AS.fasta,Escherichia coli
9,ESC_IA0176AA_AS.fasta,Escherichia coli
10,ESC_HA8229AA_AS.fasta,Escherichia coli
11,ESC_GA6833AA_AS.fasta,Escherichia coli 96.154
12,ESC_KA7806AA_AS.fasta,Escherichia coli O157:H7
13,ESC_IA1488AA_AS.fasta,Escherichia coli MS 200-1
14,ESC_BA2437AA_AS.fasta,Escherichia coli
15,ESC_BA2284AA_AS.fasta,Escherichia coli
16,ESC_HA7522AA_AS.fasta,Escherichia coli O157:H7 str. F6751
17,ESC_HA0120AA_AS.fasta,Escherichia coli
18,ESC_LA5738AA_AS.fasta,Escherichia coli
19,ESC_GA3669AA_AS.fasta,Escherichia coli MP1
20,ESC_CA4319AA_AS.fasta,Escherichia coli
21,ESC_KA6814AA_AS.fasta,Escherichia coli O157:H7
22,ESC_HA8174AA_AS.fasta,Escherichia coli
23,ESC_KA7857AA_AS.fasta,Escherichia coli
24,ESC_FA6831AA_AS.fasta,Escherichia coli TW07793
25,ESC_HA4902AA_AS.fasta,Escherichia coli O157:H7
26,ESC_KA6815AA_AS.fasta,Escherichia coli
27,ESC_GA2931AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2112
28,ESC_GA3652AA_AS.fasta,Escherichia coli
29,ESC_CA0854AA_AS.fasta,Escherichia coli EC1864
30,ESC_BA3668AA_AS.fasta,Escherichia coli O26:H11 str. CVM10224
31,ESC_GA9206AA_AS.fasta,Escherichia coli
32,ESC_GA2927AA_AS.fasta,Escherichia coli FDA504
33,ESC_CA0022AA_AS.fasta,Escherichia coli O157
34,ESC_LA1372AA_AS.fasta,Escherichia coli
35,ESC_BA6051AA_AS.fasta,Escherichia coli
36,ESC_GA8985AA_AS.fasta,Escherichia coli
37,ESC_CA1745AA_AS.fasta,Escherichia coli
38,ESC_GA8936AA_AS.fasta,Escherichia coli
39,ESC_HA8076AA_AS.fasta,Escherichia coli
40,ESC_AA9198AA_AS.fasta,Escherichia coli
41,ESC_HA1829AA_AS.fasta,Escherichia coli
42,ESC_HA8560AA_AS.fasta,Escherichia coli KTE119
43,ESC_GA9181AA_AS.fasta,Escherichia coli O104:H4 str. 11-02093
44,ESC_HA2669AA_AS.fasta,Escherichia coli
45,ESC_FA9639AA_AS.fasta,Escherichia coli O26:H11 str. CVM10224
46,ESC_IA1468AA_AS.fasta,Escherichia coli C354_03B
47,ESC_HA8581AA_AS.fasta,Escherichia coli 6-537-08_S4_C2
48,ESC_IA0096AA_AS.fasta,Escherichia coli
49,ESC_GA9216AA_AS.fasta,"[205 seqs] NZ_LDXI01000001.1 Escherichia coli strain 36084 36084_contig000001, whole genome shotgun sequence [...]"
50,ESC_GA9438AA_AS.fasta,Escherichia coli 3-475-03_S1_C2
51,ESC_FA6837AA_AS.fasta,Escherichia coli
52,ESC_HA8033AA_AS.fasta,Escherichia coli
53,ESC_CA5990AA_AS.fasta,Escherichia coli O121:H19 str. 2011C-3609
54,ESC_HA4898AA_AS.fasta,Escherichia coli O157:H7
55,ESC_IA0060AA_AS.fasta,Escherichia coli
56,ESC_GA9317AA_AS.fasta,Escherichia coli
57,ESC_NA9441AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2104
58,ESC_FA6859AA_AS.fasta,Escherichia coli KTE197
59,ESC_IA2219AA_AS.fasta,Escherichia coli
60,ESC_CA0439AA_AS.fasta,Escherichia coli
61,ESC_HA9058AA_AS.fasta,Escherichia coli
62,ESC_CA4208AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
63,ESC_GA9271AA_AS.fasta,Escherichia coli KTE220
64,ESC_GA0438AA_AS.fasta,Escherichia coli O157:H7 str. F8092B
65,ESC_GA1482AA_AS.fasta,Escherichia coli
66,ESC_KA6037AA_AS.fasta,Escherichia coli
67,ESC_CA6155AA_AS.fasta,Escherichia coli
68,ESC_IA1134AA_AS.fasta,Escherichia coli O157:H7 str. EC1212
69,ESC_GA6838AA_AS.fasta,Escherichia coli HVH 147 (4-5893887)
70,ESC_HA8607AA_AS.fasta,Escherichia coli UMEA 4076-1
71,ESC_KA6018AA_AS.fasta,"[205 seqs] NZ_LDXI01000001.1 Escherichia coli strain 36084 36084_contig000001, whole genome shotgun sequence [...]"
72,ESC_GA1529AA_AS.fasta,Escherichia coli ATCC BAA-2219
73,ESC_LA1546AA_AS.fasta,Escherichia coli O91:H21 str. 2009C-3740
74,ESC_BA9516AA_AS.fasta,Escherichia coli O26:H11 str. 2009C-3689
75,ESC_FA6818AA_AS.fasta,Escherichia coli
76,ESC_HA7773AA_AS.fasta,Escherichia coli
77,ESC_BA9207AA_AS.fasta,Escherichia coli B95
78,ESC_HA8759AA_AS.fasta,Escherichia coli
79,ESC_HA9272AA_AS.fasta,Escherichia coli O157:H7 str. EC4076
80,ESC_GA3092AA_AS.fasta,Escherichia coli FRIK2001
81,ESC_HA7495AA_AS.fasta,Escherichia coli B95
82,ESC_GA2877AA_AS.fasta,Escherichia coli ATCC BAA-2219
83,ESC_HA8502AA_AS.fasta,Escherichia coli
84,ESC_GA0461AA_AS.fasta,Escherichia coli 4.0522
85,ESC_OA0180AA_AS.fasta,Escherichia coli DEC11A
86,ESC_PA1909AA_AS.fasta,Escherichia coli
87,ESC_IA0138AA_AS.fasta,Escherichia coli
88,ESC_HA6252AA_AS.fasta,Escherichia coli O157:H7
89,ESC_HA8723AA_AS.fasta,Escherichia coli
90,ESC_GA6863AA_AS.fasta,Escherichia coli
91,ESC_BA6954AA_AS.fasta,Escherichia coli 3.4870
92,ESC_HA1790AA_AS.fasta,Escherichia coli DEC12C
93,ESC_OA0191AA_AS.fasta,Escherichia coli O157:H7 str. F7384
94,ESC_FA8163AA_AS.fasta,Escherichia coli O111:NM str. 2011C-3170
95,ESC_IA8277AA_AS.fasta,Escherichia coli
96,ESC_HA8994AA_AS.fasta,Escherichia coli
97,ESC_IA1179AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
98,ESC_CA3763AA_AS.fasta,Escherichia coli
99,ESC_GA9698AA_AS.fasta,Escherichia coli EC4448
100,ESC_HA8148AA_AS.fasta,Escherichia coli C213_10
101,ESC_GA2938AA_AS.fasta,Escherichia coli FDA504
102,ESC_LA6589AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2093
103,ESC_LA1391AA_AS.fasta,Escherichia coli
104,ESC_HA3580AA_AS.fasta,Escherichia coli O121:H19 str. 2011C-3609
105,ESC_HA9093AA_AS.fasta,Escherichia coli
106,ESC_FA7488AA_AS.fasta,"[263 seqs] NC_002142.1 Escherichia coli B171 plasmid pB171 DNA, complete sequence [...]"
107,ESC_FA6254AA_AS.fasta,Escherichia coli O157:H7 str. 2011EL-2093
108,ESC_HA7509AA_AS.fasta,Escherichia coli O157:H7 str. F8092B
109,ESC_GA9673AA_AS.fasta,Escherichia coli EC1846
110,ESC_CA3782AA_AS.fasta,Escherichia coli
111,ESC_GA6704AA_AS.fasta,Escherichia coli
112,ESC_HA9063AA_AS.fasta,Escherichia coli IAI1
113,ESC_GA9456AA_AS.fasta,Escherichia coli
114,ESC_HA3302AA_AS.fasta,Escherichia coli
115,ESC_IA1298AA_AS.fasta,Escherichia coli O157:H7 str. TW14359
116,ESC_HA7460AA_AS.fasta,Escherichia coli O157:H7 str. 08-4169
117,ESC_CA2559AA_AS.fasta,Escherichia coli
118,ESC_HA3949AA_AS.fasta,Escherichia coli
119,ESC_GA6712AA_AS.fasta,Escherichia coli
120,ESC_GA6494AA_AS.fasta,Escherichia coli
121,ESC_HA8369AA_AS.fasta,Escherichia coli HVH 32 (4-3773988)
122,ESC_HA7396AA_AS.fasta,Escherichia coli
123,ESC_HA1831AA_AS.fasta,Escherichia coli
124,ESC_PA1944AA_AS.fasta,Escherichia coli O5:K4(L):H4 str. ATCC 23502
125,ESC_HA4965AA_AS.fasta,Escherichia coli O157:H7
126,ESC_CA0141AA_AS.fasta,Escherichia coli C354_03B
127,ESC_HA8046AA_AS.fasta,Escherichia coli
128,ESC_IA8172AA_AS.fasta,Escherichia coli O157:H7 str. 08-4169
129,ESC_BA0931AA_AS.fasta,Escherichia coli
130,ESC_NA8405AA_AS.fasta,Escherichia coli
131,ESC_HA1814AA_AS.fasta,Escherichia coli 3-105-05_S4_C1
132,ESC_HA7541AA_AS.fasta,Escherichia coli
133,ESC_NA9489AA_AS.fasta,Escherichia coli O157:H7 str. F7384
134,ESC_GA3638AA_AS.fasta,Escherichia coli
135,ESC_HA2665AA_AS.fasta,Escherichia coli
136,ESC_IA2247AA_AS.fasta,Escherichia coli
137,ESC_HA7914AA_AS.fasta,Escherichia coli KTE155
138,ESC_KA6024AA_AS.fasta,Escherichia coli
139,ESC_PA1912AA_AS.fasta,Escherichia coli
140,ESC_GA3716AA_AS.fasta,Escherichia coli
141,ESC_GA9262AA_AS.fasta,Escherichia coli
142,ESC_BA5875AA_AS.fasta,Escherichia coli TW07509
143,ESC_BA5509AA_AS.fasta,Escherichia coli
144,ESC_GA2892AA_AS.fasta,Escherichia coli FDA504
145,ESC_HA6280AA_AS.fasta,Escherichia coli O157:H7 str. Sakai
146,ESC_IA1450AA_AS.fasta,Escherichia coli
147,ESC_GA3637AA_AS.fasta,Escherichia coli
148,ESC_FA6799AA_AS.fasta,Escherichia coli
149,ESC_KA7428AA_AS.fasta,Escherichia coli HVH 141 (4-5995973)
150,ESC_HA8109AA_AS.fasta,Escherichia coli
151,ESC_HA7397AA_AS.fasta,Escherichia coli
152,ESC_HA8645AA_AS.fasta,Escherichia coli KTE48
153,ESC_PA0805AA_AS.fasta,Escherichia coli
154,ESC_GA8498AA_AS.fasta,Escherichia coli
155,ESC_KA5991AA_AS.fasta,Escherichia coli
156,ESC_GA6859AA_AS.fasta,Escherichia coli BIDMC 59
157,ESC_FA7714AA_AS.fasta,Escherichia coli OK1114
158,ESC_GA2773AA_AS.fasta,Escherichia coli
159,ESC_IA6433AA_AS.fasta,Escherichia coli KTE222
160,ESC_IA1207AA_AS.fasta,Escherichia coli C354_03B
161,ESC_HA5854AA_AS.fasta,Escherichia coli
162,ESC_LA5737AA_AS.fasta,Escherichia coli O26:H11 str. 2010C-3051
163,ESC_HA3272AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
164,ESC_NA9502AA_AS.fasta,Escherichia coli NE1487
165,ESC_GA9222AA_AS.fasta,Escherichia coli
166,ESC_GA3668AA_AS.fasta,Escherichia coli
167,ESC_HA8355AA_AS.fasta,Escherichia albertii
168,ESC_GA8913AA_AS.fasta,Escherichia coli
169,ESC_IA1213AA_AS.fasta,Escherichia coli
170,ESC_GA1477AA_AS.fasta,Escherichia coli
171,ESC_IA1471AA_AS.fasta,Escherichia coli C354_03B
172,ESC_LA5775AA_AS.fasta,Escherichia coli
173,ESC_HA8272AA_AS.fasta,Escherichia coli
174,ESC_HA0353AA_AS.fasta,Escherichia coli O121:H19 str. 2011C-3609
175,ESC_IA0166AA_AS.fasta,Escherichia coli
176,ESC_FA8262AA_AS.fasta,Escherichia coli
177,ESC_OA0175AA_AS.fasta,Escherichia coli
178,ESC_CA0275AA_AS.fasta,Escherichia coli
179,ESC_IA0691AA_AS.fasta,Escherichia coli
180,ESC_HA8247AA_AS.fasta,Escherichia coli 97.0259
181,ESC_HA8566AA_AS.fasta,Escherichia coli HM46
182,ESC_IA0070AA_AS.fasta,Escherichia coli NCCP 15655
183,ESC_OA5488AA_AS.fasta,Escherichia coli
184,ESC_MA3601AA_AS.fasta,Escherichia coli UCI 66
185,ESC_HA8232AA_AS.fasta,Escherichia coli
186,ESC_GA2926AA_AS.fasta,"[2 seqs] NZ_CP015846.1 Escherichia coli O157:H7 strain FRIK2069, complete genome [...]"
187,ESC_KA1884AA_AS.fasta,Escherichia coli
188,ESC_IA1157AA_AS.fasta,Escherichia coli C354_03B
189,ESC_GA4816AA_AS.fasta,Escherichia coli O157:H7 str. EC4115
190,ESC_GA9157AA_AS.fasta,Escherichia coli C418_89
191,ESC_GA9459AA_AS.fasta,Escherichia coli
192,ESC_GA2552AA_AS.fasta,Escherichia coli ATCC BAA-2215
193,ESC_IA1189AA_AS.fasta,Escherichia coli C354_03B
194,ESC_GA9665AA_AS.fasta,Escherichia coli B95
195,ESC_BA5759AA_AS.fasta,Escherichia coli
196,ESC_BA9361AA_AS.fasta,Escherichia coli
197,ESC_GA6880AA_AS.fasta,Escherichia coli
198,ESC_LA4820AA_AS.fasta,Escherichia coli 3.4870
199,ESC_BA1232AA_AS.fasta,Escherichia coli
200,ESC_HA1824AA_AS.fasta,Escherichia coli
201,ESC_HA8108AA_AS.fasta,Escherichia coli Jurua 18/11
202,ESC_BA6786AA_AS.fasta,Escherichia coli
203,ESC_CA2847AA_AS.fasta,Escherichia coli
204,ESC_CA1754AA_AS.fasta,Escherichia coli
205,ESC_HA8035AA_AS.fasta,Escherichia coli MS 79-10
206,ESC_CA3048AA_AS.fasta,Escherichia coli O157:H7 str. H093800014
207,ESC_GA9011AA_AS.fasta,"[205 seqs] NZ_LDXI01000001.1 Escherichia coli strain 36084 36084_contig000001, whole genome shotgun sequence [...]"
208,ESC_HA8489AA_AS.fasta,Escherichia coli O15:H18 str. K1516
209,ESC_HA7934AA_AS.fasta,Escherichia coli DEC11B
210,ESC_GA9151AA_AS.fasta,Escherichia coli
211,ESC_OA0066AA_AS.fasta,Escherichia coli O157:H7 str. EC1212
212,ESC_GA7657AA_AS.fasta,Escherichia coli
213,ESC_IA3360AA_AS.fasta,Escherichia coli FDA506
